vendor_id,total_orders,accepted_orders,avg_rating,cancellation_rate,complaints_count,performance
1,910,287,4.3,0.35,12,Poor
2,3822,3508,4.3,0.11,85,Average
3,3142,651,4.5,0.47,25,Poor
4,516,90,4.6,0.26,80,Poor
5,4476,548,2.7,0.23,28,Poor
6,3494,3344,3.4,0.22,90,Poor
7,3221,2000,4.2,0.35,85,Poor
8,2969,2189,3.7,0.23,17,Poor
9,180,143,3.0,0.06,68,Poor
10,1735,29,3.9,0.44,11,Poor
11,819,818,3.5,0.21,1,Poor
12,2441,1359,3.5,0.04,41,Poor
13,2483,1316,4.5,0.26,6,Poor
14,1234,772,3.5,0.32,46,Poor
15,4605,2953,2.6,0.14,89,Poor
16,3435,2531,2.6,0.4,53,Poor
17,4167,2779,4.6,0.33,14,Poor
18,4893,2795,4.9,0.33,57,Poor
19,2954,2784,4.2,0.21,32,Poor
20,524,432,3.4,0.48,66,Poor
21,1132,99,4.8,0.14,62,Average
22,2608,2547,4.2,0.29,47,Poor
23,2097,921,4.6,0.15,65,Average
24,2797,910,4.4,0.37,80,Poor
25,1025,566,3.4,0.02,64,Poor
26,1856,1844,3.7,0.02,35,Average
27,239,37,3.0,0.41,16,Poor
28,2784,1208,3.2,0.22,1,Poor
29,3055,1568,4.4,0.17,32,Average
30,4708,4317,4.7,0.3,92,Poor
31,1949,760,4.3,0.35,5,Poor
32,1317,338,3.7,0.1,42,Average
33,1578,236,2.7,0.09,99,Poor
34,3252,1077,2.6,0.48,87,Poor
35,3606,1914,3.4,0.29,10,Poor
36,3940,2333,3.7,0.2,4,Poor
37,696,659,4.0,0.4,29,Poor
38,2938,743,2.5,0.26,9,Poor
39,2485,1720,5.0,0.12,90,Average
40,650,432,3.4,0.1,90,Poor
41,2413,1295,4.6,0.2,23,Poor
42,2111,420,3.8,0.43,58,Poor
43,291,231,2.8,0.03,66,Poor
44,2091,1155,4.5,0.11,60,Average
45,2874,2790,4.3,0.45,25,Poor
46,2662,770,3.8,0.06,38,Average
47,1413,287,3.8,0.31,81,Poor
48,1528,317,2.7,0.11,2,Poor
49,2606,1360,4.1,0.3,37,Poor
50,825,589,4.8,0.19,41,Average
51,4064,2576,2.7,0.05,47,Poor
52,84,73,3.2,0.29,88,Poor
53,3202,565,4.8,0.34,12,Poor
54,2005,794,3.2,0.34,88,Poor
55,1635,384,4.1,0.32,87,Poor
56,3993,566,3.8,0.25,55,Poor
57,3123,290,4.0,0.26,58,Poor
58,1071,758,3.5,0.32,62,Poor
59,3511,2604,3.2,0.35,79,Poor
60,2663,1277,2.6,0.33,42,Poor
61,3893,78,4.4,0.29,74,Poor
62,1550,1294,4.4,0.08,56,Average
63,4848,4201,4.2,0.11,20,Average
64,211,153,4.1,0.13,94,Average
65,4347,738,3.1,0.46,53,Poor
66,2031,875,2.6,0.38,78,Poor
67,1045,168,4.5,0.28,52,Poor
68,4961,4698,3.7,0.13,44,Average
69,3392,140,3.3,0.06,35,Poor
70,4601,2672,2.8,0.45,62,Poor
71,3848,2323,2.7,0.45,0,Poor
72,1325,785,3.4,0.06,91,Poor
73,1066,883,4.5,0.4,96,Poor
74,387,307,4.8,0.22,66,Poor
75,928,328,4.7,0.16,78,Average
76,1126,78,4.8,0.37,32,Poor
77,4937,1129,4.8,0.31,31,Poor
78,4043,2853,3.8,0.39,86,Poor
79,4909,1270,3.0,0.04,57,Poor
80,429,100,4.5,0.16,25,Average
81,542,203,3.0,0.16,60,Poor
82,2112,1835,3.2,0.16,16,Poor
83,3934,1365,3.1,0.25,72,Poor
84,114,32,3.8,0.14,68,Average
85,2618,1361,3.3,0.22,28,Poor
86,2077,1752,2.9,0.18,62,Poor
87,2745,918,3.6,0.37,5,Poor
88,1545,1336,4.7,0.3,58,Poor
89,441,312,3.9,0.33,98,Poor
90,4564,504,4.7,0.11,20,Average
91,4524,822,3.0,0.16,44,Poor
92,3611,1735,2.9,0.01,44,Poor
93,2328,1935,3.9,0.05,86,Average
94,3149,1777,3.7,0.13,34,Average
95,250,37,4.2,0.03,51,Average
96,4925,3027,4.5,0.3,45,Poor
97,3154,2883,4.4,0.5,65,Poor
98,4648,3515,4.9,0.05,56,Average
99,2504,2340,3.5,0.41,41,Poor
100,3695,1690,3.0,0.06,72,Poor
101,854,844,3.9,0.33,76,Poor
102,2781,539,2.8,0.32,97,Poor
103,2823,1171,3.2,0.45,15,Poor
104,1620,1416,3.0,0.06,4,Poor
105,2740,2635,3.5,0.16,0,Poor
106,3890,2705,2.8,0.05,21,Poor
107,1078,178,2.6,0.2,47,Poor
108,552,195,4.1,0.46,25,Poor
109,4543,2687,4.0,0.39,33,Poor
110,920,230,4.3,0.36,57,Poor
111,4538,2514,4.2,0.27,84,Poor
112,256,93,2.8,0.44,6,Poor
113,1534,186,3.2,0.22,24,Poor
114,913,479,2.8,0.07,56,Poor
115,2840,1276,4.6,0.42,11,Poor
116,613,346,4.4,0.14,30,Average
117,4241,3975,3.0,0.03,26,Poor
118,1807,1225,3.4,0.06,85,Poor
119,1728,1677,4.9,0.3,33,Poor
120,3292,1758,4.0,0.3,80,Poor
121,4686,4058,4.5,0.13,74,Average
122,1109,1072,3.2,0.36,92,Poor
123,1772,733,3.0,0.39,33,Poor
124,3364,3184,4.5,0.46,36,Poor
125,3207,2908,4.2,0.29,57,Poor
126,2675,707,4.2,0.39,59,Poor
127,2779,349,3.9,0.38,25,Poor
128,1647,1227,3.9,0.13,44,Average
129,3110,2162,4.3,0.16,44,Average
130,2743,804,3.2,0.24,31,Poor
131,4941,2716,3.4,0.01,68,Poor
132,3677,2420,4.7,0.15,83,Average
133,1413,949,3.3,0.24,70,Poor
134,2031,960,3.9,0.05,22,Average
135,1713,1003,4.3,0.06,64,Average
136,1579,1308,5.0,0.23,38,Poor
137,2088,1699,3.6,0.37,66,Poor
138,3352,3110,3.6,0.42,44,Poor
139,2287,645,4.6,0.27,66,Poor
140,1356,158,4.5,0.24,62,Poor
141,4079,3728,4.3,0.19,69,Average
142,2725,781,3.7,0.1,94,Average
143,1332,274,3.3,0.07,53,Poor
144,759,104,4.0,0.4,26,Poor
145,4794,3549,4.7,0.23,92,Poor
146,4463,1575,4.7,0.4,78,Poor
147,3798,3653,2.8,0.35,35,Poor
148,4829,695,3.6,0.1,4,Average
149,713,111,3.7,0.26,66,Poor
150,2048,1643,4.9,0.22,50,Poor
151,3495,1112,4.2,0.21,88,Poor
152,3793,56,3.5,0.27,31,Poor
153,1545,159,2.6,0.49,20,Poor
154,3354,2934,3.9,0.41,16,Poor
155,3813,2747,2.7,0.45,72,Poor
156,1903,1609,4.6,0.01,25,Average
157,4709,3900,4.4,0.07,21,Average
158,1341,156,3.7,0.04,40,Average
159,3631,2257,3.6,0.13,58,Average
160,3507,1683,4.7,0.22,86,Poor
161,1686,361,3.2,0.32,74,Poor
162,3746,1602,3.1,0.25,9,Poor
163,3049,991,4.8,0.45,86,Poor
164,3202,681,4.5,0.47,4,Poor
165,748,262,4.6,0.08,54,Average
166,2210,1830,3.0,0.43,25,Poor
167,4147,434,2.9,0.24,3,Poor
168,4787,362,2.6,0.23,26,Poor
169,904,701,3.1,0.39,97,Poor
170,3524,3470,4.4,0.05,57,Average
171,1757,1637,3.1,0.44,2,Poor
172,2827,2720,4.3,0.34,49,Poor
173,1783,165,3.1,0.44,95,Poor
174,4981,4438,3.5,0.5,25,Poor
175,3560,2189,5.0,0.26,17,Poor
